"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_ID","gene_ID2","X2","peak_cluster","order_y","tag","order2","segment","gene_ID.y"
456.28938925185213,1.7962588384518696,0.36118083372014026,4.9732950111181555,6.582437275724248e-7,2.761195303056411e-4,"CRO_06G003270.2","CRO-06G003270.2","serine carboxypeptidase-like","8",14,NA,NA,NA,NA
985.9630318147449,1.7750898077713375,0.3858147023667551,4.600886894361892,4.206958320861582e-6,0.0011930578280358866,"CRO_02G025790.2","CRO-02G025790.2","nitrate transporter 1.7","8",14,NA,NA,NA,NA
53.11873908588531,1.7021650581700187,0.486236268813142,3.5006953766012705,4.64045947664058e-4,0.04427049186282493,"CRO_06G012430.7","CRO-06G012430.7","glycolipid transfer protein","8",14,NA,NA,NA,NA
409.48449175855313,1.6277440489198762,0.3292847413381217,4.9432720213672114,7.68221742861358e-7,3.1567642433700903e-4,"CRO_03G003280.1","CRO-03G003280.1","purine permease","8",14,NA,NA,NA,NA
601.7541467167592,1.5189619050506382,0.32046477813642105,4.739871613609967,2.1385367977558836e-6,7.424041107381847e-4,"CRO_08G008710.1","CRO-08G008710.1","Homeodomain-like superfamily protein","8",14,NA,NA,NA,NA
108.06501298638884,1.512912266600377,0.3092247551747729,4.892597508065884,9.951378515538617e-7,4.007420128207401e-4,"CRO_04G027330.1","CRO-04G027330.1","glutathione S-transferase tau","8",14,NA,NA,NA,NA
9676.540646472886,1.4796425270358577,0.3716455201224923,3.981327493327986,6.853144933596031e-5,0.011403972994872403,"CRO_02G014420.1","CRO-02G014420.1","bidirectional amino acid transporter","8",14,NA,NA,NA,NA
93.9462974705968,1.355388114507029,0.3253270314504697,4.166232693496248,3.0967461626250196e-5,0.006362549386168854,"CRO_03G019520.1","CRO-03G019520.1","Ca2+ activated outward rectifying K+ channel","8",14,NA,NA,NA,NA
1288.7528760950077,0.8688706567450943,0.2508178254150102,3.4641503462022154,5.319091350165457e-4,0.04691912029030349,"CRO_02G012270.3","CRO-02G012270.3","Pentatricopeptide repeat (PPR) superfamily protein","8",14,NA,NA,NA,NA
810.2641418164579,0.8091253594573966,0.13756938736423882,5.881580015436842,4.063684106518557e-9,3.147010749413506e-6,"CRO_03G000660.2","CRO-03G000660.2","C2H2-like zinc finger protein","8",14,NA,NA,NA,NA
9921.645375976077,0.7753132675508958,0.2160665075145912,3.5883084170208015,3.328304317016043e-4,0.03583711626904707,"CRO_03G028930.1","CRO-03G028930.1","Adenine nucleotide alpha hydrolases-like superfamily protein","8",14,NA,NA,NA,NA
